
Country,Country Code,Region,Region Code,Second Tier Authority,Local Authority,Local Authority Code,Calendar Year,LA CO2 Sector,LA CO2 Sub-sector,Territorial emissions (kt CO2),Emissions within the scope of influence of LAs (kt CO2),Mid-year Population (thousands),Area (km2)
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,LULUCF,LULUCF Net Emissions: Settlements,3.157627742,0,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Public Sector,Public Sector Electricity,23.62174838,23.62174838,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Public Sector,Public Sector Gas,26.61523222,26.61523222,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Public Sector,Public Sector 'Other Fuels',0.07561754,0.07561754,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Transport,Road Transport (A roads),173.9113596,173.9113596,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Transport,Road Transport (Motorways),177.5428338,0,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Transport,Road Transport (Minor roads),188.3540197,188.3540197,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Transport,Diesel Railways,6.783998462,0,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Transport,Transport Other,3.25260276,3.25260276,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Commercial,Commercial Electricity,114.2921556,114.2921556,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Commercial,Commercial Gas,48.6459927,48.6459927,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Commercial,Commercial 'Other Fuels',0.341264327,0.341264327,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Domestic,Domestic Electricity,243.1701329,243.1701329,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Domestic,Domestic Gas,356.9201647,356.9201647,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Domestic,Domestic 'Other Fuels',15.38640816,15.38640816,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Industry,Industry Electricity,151.1891469,151.1891469,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Industry,Industry Gas,34.68132773,34.68132773,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Industry,Large Industrial Installations,9.837344404,5.056128916,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Industry,Industry 'Other Fuels',57.66283393,57.66283393,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Industry,Agriculture,1.699617169,1.489984363,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,LULUCF,LULUCF Net Emissions: Forest land,-6.129220846,0,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,LULUCF,LULUCF Net Emissions: Cropland,3.297101081,0,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,LULUCF,LULUCF Net Emissions: Grassland,-0.751610345,0,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,LULUCF,LULUCF Net Emissions: Settlements,3.115686604,0,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Public Sector,Public Sector Electricity,25.42158936,25.42158936,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Public Sector,Public Sector Gas,29.65308949,29.65308949,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Public Sector,Public Sector 'Other Fuels',0.058274819,0.058274819,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Transport,Road Transport (A roads),169.8771804,169.8771804,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Transport,Road Transport (Motorways),171.7671795,0,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Transport,Road Transport (Minor roads),187.9669062,187.9669062,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Transport,Diesel Railways,6.771583374,0,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2010,Transport,Transport Other,3.261185812,3.261185812,275.168,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Commercial,Commercial Electricity,91.78155651,91.78155651,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Commercial,Commercial Gas,39.36133883,39.36133883,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Commercial,Commercial 'Other Fuels',0.350365272,0.350365272,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Domestic,Domestic Electricity,233.0751599,233.0751599,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Domestic,Domestic Gas,294.9491217,294.9491217,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Domestic,Domestic 'Other Fuels',14.47454327,14.47454327,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Industry,Industry Electricity,131.1474497,131.1474497,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Industry,Industry Gas,30.65170754,30.65170754,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Industry,Large Industrial Installations,10.65806998,4.888271822,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Industry,Industry 'Other Fuels',50.18783329,50.18783329,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Industry,Agriculture,1.744492465,1.517470391,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,LULUCF,LULUCF Net Emissions: Forest land,-6.212925871,0,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,LULUCF,LULUCF Net Emissions: Cropland,3.295918329,0,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,LULUCF,LULUCF Net Emissions: Grassland,-0.919184489,0,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,LULUCF,LULUCF Net Emissions: Settlements,3.043003254,0,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Public Sector,Public Sector Electricity,20.16055643,20.16055643,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Public Sector,Public Sector Gas,21.83043747,21.83043747,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Public Sector,Public Sector 'Other Fuels',0.112278056,0.112278056,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Transport,Road Transport (A roads),166.3265859,166.3265859,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Transport,Road Transport (Motorways),181.770334,0,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Transport,Road Transport (Minor roads),187.5825911,187.5825911,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Transport,Diesel Railways,6.680099539,0,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2011,Transport,Transport Other,3.245929065,3.245929065,277.296,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Commercial,Commercial Electricity,122.6788804,122.6788804,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Commercial,Commercial Gas,47.86062774,47.86062774,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Commercial,Commercial 'Other Fuels',0.285589607,0.285589607,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Domestic,Domestic Electricity,245.7212785,245.7212785,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Domestic,Domestic Gas,322.0463032,322.0463032,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Domestic,Domestic 'Other Fuels',13.78235132,13.78235132,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Industry,Industry Electricity,149.8582445,149.8582445,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Industry,Industry Gas,34.55772053,34.55772053,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Industry,Large Industrial Installations,10.21663775,5.084100254,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Industry,Industry 'Other Fuels',53.15756333,53.15756333,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Industry,Agriculture,1.752034961,1.540490825,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,LULUCF,LULUCF Net Emissions: Forest land,-6.216188277,0,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,LULUCF,LULUCF Net Emissions: Cropland,3.295028725,0,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,LULUCF,LULUCF Net Emissions: Grassland,-1.13176737,0,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,LULUCF,LULUCF Net Emissions: Settlements,2.97408764,0,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Public Sector,Public Sector Electricity,26.36708155,26.36708155,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Public Sector,Public Sector Gas,24.406914,24.406914,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Public Sector,Public Sector 'Other Fuels',0.059078645,0.059078645,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Transport,Road Transport (A roads),161.3192051,161.3192051,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Transport,Road Transport (Motorways),183.2201717,0,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Transport,Road Transport (Minor roads),187.7028693,187.7028693,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Transport,Diesel Railways,6.663667626,0,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2012,Transport,Transport Other,3.138353352,3.138353352,279.084,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2013,Commercial,Commercial Electricity,109.8023447,109.8023447,280.271,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2013,Commercial,Commercial Gas,48.62060722,48.62060722,280.271,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2013,Commercial,Commercial 'Other Fuels',0.308426265,0.308426265,280.271,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2013,Domestic,Domestic Electricity,224.0364021,224.0364021,280.271,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2013,Domestic,Domestic Gas,329.1008366,329.1008366,280.271,139.7923
